Topic 1
	million	0.0647989
	money	0.0529883
	campaign	0.0322927
	democratic	0.0250329
	raised	0.020157
	dnc	0.0196152
	candidates	0.0174481
	party	0.0160395
	fundraising	0.0152811
	national	0.0148476
	cash	0.0125722
	spend	0.0108385
	groups	0.0104051
	spent	0.00997172
	election	0.00964665
	committee	0.00932159
	funds	0.00921324
	raise	0.00888817
	year	0.00877982
	fund	0.00802134
Topic 2
	war	0.0249214
	abu	0.0249214
	military	0.0242012
	rumsfeld	0.0218967
	ghraib	0.0211766
	iraq	0.0169997
	prisoners	0.0151273
	prison	0.013687
	american	0.0128228
	torture	0.0125348
	defense	0.0122467
	abuse	0.0121027
	people	0.0110945
	general	0.0103743
	abuses	0.0102303
	soldiers	0.0100863
	pentagon	0.00979821
	army	0.00907806
	iraqi	0.00864597
	secretary	0.0073497
Topic 3
	states	0.0443626
	election	0.0254727
	bush	0.0253665
	voters	0.0247298
	ohio	0.023138
	democratic	0.0230318
	florida	0.0209094
	vote	0.0209094
	state	0.0175134
	swing	0.0161338
	gore	0.0150726
	battleground	0.0134807
	votes	0.0123134
	presidential	0.0121011
	general	0.010297
	registration	0.00987254
	republican	0.00976642
	democrats	0.00891743
	county	0.00891743
	voter	0.00881131
Topic 4
	bush	0.113812
	kerry	0.0965902
	president	0.0286182
	general	0.0225937
	debate	0.0218079
	bushs	0.0203018
	kerrys	0.0178789
	john	0.0175515
	iraq	0.0133606
	george	0.00884218
	presidential	0.00871121
	oct	0.00818735
	campaign	0.00792541
	war	0.00785993
	election	0.00753251
	issues	0.00694316
	issue	0.00674671
	won	0.00668122
	debates	0.00648477
	presidents	0.00641929
Topic 5
	intelligence	0.025493
	officials	0.0252704
	official	0.020818
	administration	0.0163656
	report	0.0158091
	cia	0.0138055
	government	0.0119133
	security	0.0112454
	senior	0.0106889
	defense	0.00968711
	department	0.00935318
	general	0.00890794
	pentagon	0.00868533
	policy	0.00868533
	reports	0.00779485
	planning	0.007127
	key	0.00690438
	information	0.00657045
	book	0.00645915
	program	0.00645915
Topic 6
	specter	0.0288679
	toomey	0.0222654
	hoeffel	0.0167947
	senate	0.014531
	early	0.0122673
	team	0.0122673
	win	0.0100036
	joe	0.00981493
	red	0.00962629
	wont	0.00868307
	elections	0.00868307
	baseball	0.00811714
	primary	0.00755121
	senator	0.00698528
	sox	0.00679663
	club	0.00660799
	theyre	0.00641935
	game	0.00641935
	mind	0.00641935
	guys	0.00641935
Topic 7
	energy	0.0143633
	reagan	0.0136393
	science	0.0135186
	space	0.0129153
	years	0.0120706
	research	0.0119499
	environmental	0.0105019
	oil	0.00929516
	meteor	0.00832979
	gas	0.00796778
	blades	0.00760576
	scientists	0.00760576
	environment	0.00736442
	water	0.00736442
	study	0.00651972
	cell	0.00639905
	policy	0.00627838
	reagans	0.00603704
	global	0.00555436
	health	0.00555436
Topic 8
	john	0.0414478
	kerry	0.0337585
	democratic	0.0316733
	edwards	0.0312823
	general	0.0189012
	presidential	0.016816
	party	0.0165553
	nominee	0.0153824
	running	0.0136881
	choice	0.0136881
	campaign	0.0127758
	ticket	0.0122545
	candidate	0.0118635
	mccain	0.0109513
	republican	0.0106906
	nomination	0.0104299
	alexander	0.0101693
	senator	0.00990864
	veep	0.00964798
	candidates	0.00951765
Topic 9
	bush	0.0366094
	tax	0.0331231
	billion	0.0203398
	budget	0.0165629
	health	0.0162724
	administration	0.0154008
	cuts	0.0149166
	care	0.0131734
	spending	0.0125924
	year	0.012205
	deficit	0.0118176
	cut	0.0118176
	federal	0.0118176
	taxes	0.011624
	government	0.0107524
	plan	0.0104618
	million	0.0101713
	years	0.00939657
	costs	0.00920288
	pay	0.0090092
Topic 10
	candidates	0.0230587
	dkos	0.0199764
	dozen	0.0175107
	house	0.0172641
	donors	0.0170175
	jim	0.0164011
	campaign	0.0152915
	race	0.0140586
	money	0.0128257
	campaigns	0.0119626
	candidate	0.0112229
	richard	0.0102366
	races	0.00999001
	farmer	0.00999001
	jun	0.00999001
	murphy	0.00949685
	fundraising	0.00937356
	raised	0.00937356
	time	0.00925027
	elections	0.00925027
Topic 11
	polls	0.0538516
	poll	0.0506841
	polling	0.032101
	voters	0.0213313
	lead	0.0202755
	numbers	0.019114
	zogby	0.0179526
	kerry	0.0157353
	gallup	0.0151018
	race	0.0129901
	results	0.0119342
	tracking	0.0119342
	general	0.0106672
	close	0.0101393
	ahead	0.00992809
